ra,dec,total,teff
4.0,28.0,4.0,5114.0
4,29,3,0
4.0,30.0,1.0,5629.27
4.0,31.0,3.0,3636.07
4,32,1,0
4,33,1,0
4,34,0,0
4.0,35.0,4.0,3645.1233
4,36,3,0
4.0,37.0,5.0,4142.5547
4,38,5,0
4.0,39.0,3.0,8863.5
4.0,40.0,3.0,4889.0
4.0,41.0,5.0,4955.0405
4.0,42.0,4.0,5435.3335
4,43,1,0
4.0,44.0,2.0,5054.77
4,45,4,0
4.0,46.0,5.0,3699.85
4.0,47.0,5.0,5143.45
4.0,48.0,4.0,4344.1064
4,49,1,0
4,50,3,0
4.0,51.0,5.0,4416.6665
4.0,52.0,4.0,4630.925
4.0,53.0,4.0,3890.4248
4,54,3,0
4.0,55.0,5.0,4149.4697
4,56,1,0
4,57,2,0
4,58,2,0
4.0,59.0,6.0,5273.5
4,60,3,0
4,61,1,0
4.0,62.0,1.0,4129.5
4,63,1,0
4,64,7,0
4,65,2,0
4.0,66.0,4.0,3828.0
4.0,67.0,7.0,8868.667
4.0,68.0,6.0,3598.225
4.0,69.0,11.0,4848.5
4,70,3,0
4.0,71.0,6.0,5555.08
4.0,72.0,9.0,4344.17
4.0,73.0,8.0,5292.1426
4.0,74.0,6.0,4435.0
4.0,75.0,9.0,8071.0
4.0,76.0,6.0,4450.91
4,77,5,0
4.0,78.0,5.0,3694.18
4,79,4,0
4.0,80.0,13.0,4275.2534
4,81,3,0
4.0,82.0,9.0,5631.6934
4,83,7,0
4,84,7,0
4,85,3,0
4,86,4,0
4,87,5,0
4,88,5,0
4,89,1,0
4,90,1,0
4.0,91.0,5.0,4344.36
4,92,6,0
4,93,3,0
4,94,0,0
4,95,2,0
4,96,2,0
4,97,3,0
4.0,98.0,3.0,4018.4
4,99,1,0
5.0,0.0,1.0,4921.815
5.0,1.0,2.0,5760.88
5.0,2.0,1.0,3867.4624
5,3,0,0
5,4,0,0
5,5,0,0
5,6,1,0
5,7,2,0
5,8,1,0
5.0,9.0,2.0,6705.0
5.0,10.0,2.0,7731.0
5.0,11.0,1.0,4770.0
5.0,12.0,3.0,3824.7
5,13,0,0
5,14,0,0
5,15,1,0
5,16,0,0
5,17,0,0
5,18,1,0
5,19,0,0
5,20,0,0
5,21,2,0
5.0,22.0,3.0,3912.905
5.0,23.0,2.0,3719.0
5,24,1,0
5.0,25.0,1.0,3917.0125
5.0,26.0,2.0,5800.607
5.0,27.0,4.0,6518.3555
5,28,2,0
5,29,1,0
5,30,1,0
5,31,1,0
5,32,0,0
5,33,2,0
5.0,34.0,2.0,3775.9402
5,35,2,0
5,36,0,0
5.0,37.0,5.0,4920.25
5,38,2,0
5.0,39.0,4.0,4160.79
5,40,2,0
5.0,41.0,2.0,4034.125
5.0,42.0,4.0,9307.0
5,43,2,0
5.0,44.0,3.0,3955.5825
5.0,45.0,4.0,4118.1675
5,46,1,0
5.0,47.0,4.0,4135.64
5.0,48.0,6.0,5076.0
5.0,49.0,2.0,3994.45
5,50,6,0
5.0,51.0,3.0,4259.0
5,52,4,0
5.0,53.0,3.0,5316.7
5.0,54.0,4.0,3656.6667
5.0,55.0,3.0,3598.0
5.0,56.0,6.0,5396.0
5.0,57.0,8.0,5380.0
5,58,3,0
5.0,59.0,4.0,5095.6333
5.0,60.0,10.0,4704.0
5.0,61.0,4.0,6246.3003
5.0,62.0,7.0,5260.0
5,63,4,0
5.0,64.0,7.0,5076.0
5.0,65.0,6.0,3744.0
5,66,5,0
5.0,67.0,9.0,5861.0
5,68,4,0
5.0,69.0,7.0,4012.71
5.0,70.0,9.0,3721.6401
5.0,71.0,9.0,3901.0
5.0,72.0,4.0,9593.0
5.0,73.0,10.0,5803.4746
5.0,74.0,9.0,9522.75
5.0,75.0,7.0,4192.0
5.0,76.0,12.0,5800.0
5,77,2,0
5.0,78.0,6.0,3786.355
5,79,3,0
5,80,5,0
5,81,6,0
5.0,82.0,9.0,3820.0
5,83,6,0
5,84,5,0
5,85,5,0
5,86,5,0
5,87,1,0
5,88,0,0
5,89,1,0
5,90,7,0
5,91,4,0
5,92,2,0
5,93,2,0
5,94,6,0
5,95,4,0
5,96,3,0
5,97,3,0
5,98,2,0
5,99,1,0
6.0,0.0,2.0,5386.6665
6.0,1.0,6.0,5791.9927
6.0,2.0,2.0,5454.0
6,3,0,0
6,4,0,0
6.0,5.0,2.0,4910.9
6,6,2,0
6,7,1,0
6,8,1,0
6,9,0,0
6.0,10.0,2.0,6418.73
6,11,1,0
6.0,12.0,3.0,4975.0
6,13,0,0
6,14,0,0
6.0,15.0,2.0,5588.8677
6.0,16.0,1.0,3658.355
6,17,0,0
6.0,18.0,7.0,3968.0
6,19,1,0
6.0,20.0,2.0,5920.25
6.0,21.0,4.0,5575.6665
6.0,22.0,3.0,5552.0
6.0,23.0,2.0,5229.34
6,24,6,0
6.0,25.0,2.0,3993.19
6,26,0,0
6,27,1,0
6.0,28.0,3.0,5037.9233
6,29,1,0
6.0,30.0,4.0,5853.3335
6,31,1,0
6.0,32.0,2.0,5774.65
6,33,3,0
6.0,34.0,5.0,5794.1377
6,35,1,0
6.0,36.0,4.0,3560.0
6.0,37.0,4.0,5664.8003
6,38,1,0
6.0,39.0,6.0,4582.72
6,40,1,0
6.0,41.0,2.0,5725.5
6.0,42.0,3.0,5282.933000000001
6.0,43.0,6.0,9613.0
6,44,1,0
6,45,5,0
6.0,46.0,7.0,5789.0
6.0,47.0,3.0,3765.8625
6.0,48.0,9.0,4421.25
6,49,3,0
6,50,2,0
6.0,51.0,4.0,6279.0
6.0,52.0,5.0,3973.225
6.0,53.0,7.0,4855.0
6.0,54.0,4.0,3698.1335
6.0,55.0,8.0,3804.95
6,56,1,0
6,57,0,0
6,58,7,0
6.0,59.0,4.0,5278.8667
6.0,60.0,3.0,5350.0
6,61,4,0
6.0,62.0,6.0,3829.1934
6.0,63.0,5.0,3952.2524
6.0,64.0,4.0,4126.0547
6,65,2,0
6.0,66.0,7.0,5009.0
6.0,67.0,6.0,4899.6924
6.0,68.0,7.0,3681.0
6.0,69.0,6.0,3568.3333
6.0,70.0,10.0,4154.64
6.0,71.0,12.0,5837.0
6.0,72.0,9.0,9572.5
6.0,73.0,2.0,3635.0
6.0,74.0,7.0,7266.2427
6.0,75.0,6.0,5349.0
6.0,76.0,10.0,7082.5
6,77,4,0
6,78,7,0
6.0,79.0,8.0,4639.473
6,80,4,0
6,81,2,0
6.0,82.0,5.0,4049.0535
6,83,2,0
6,84,4,0
6.0,85.0,6.0,3644.505
6,86,1,0
6,87,4,0
6,88,2,0
6,89,1,0
6.0,90.0,4.0,5376.15
6,91,6,0
6,92,1,0
6,93,6,0
6,94,2,0
6,95,2,0
6,96,2,0
6,97,6,0
6,98,1,0
6,99,4,0
7.0,0.0,3.0,5353.0
7,1,0,0
7,2,0,0
7.0,3.0,2.0,6795.0
7.0,4.0,1.0,4151.1777
7,5,0,0
7.0,6.0,2.0,5433.75
7,7,0,0
7,8,1,0
7,9,0,0
7,10,1,0
7,11,1,0
7,12,0,0
7.0,13.0,2.0,4054.3726
7,14,0,0
7,15,0,0
7,16,0,0
7.0,17.0,1.0,4027.28
7.0,18.0,3.0,3847.0
7,19,1,0
7,20,0,0
7,21,2,0
7,22,0,0
7.0,23.0,1.0,6391.3
7,24,0,0
7,25,0,0
7,26,0,0
7.0,27.0,3.0,5349.607
7.0,28.0,1.0,5192.377
7,29,1,0
7,30,0,0
7,31,4,0
7,32,0,0
7.0,33.0,4.0,4975.0
7,34,0,0
7.0,35.0,4.0,5478.305
7.0,36.0,3.0,3681.0
7.0,37.0,2.0,3896.9268
7.0,38.0,4.0,3786.9175
7.0,39.0,5.0,5899.1104
7,40,2,0
7,41,1,0
7,42,1,0
7,43,2,0
7.0,44.0,2.0,4116.245
7.0,45.0,2.0,3544.0
7,46,1,0
7,47,3,0
7.0,48.0,6.0,9020.0
7,49,4,0
7,50,2,0
7,51,4,0
7,52,3,0
7,53,3,0
7,54,1,0
7.0,55.0,3.0,3844.4001
7.0,56.0,10.0,8868.667
7.0,57.0,3.0,3665.0
7.0,58.0,3.0,5161.755
7,59,4,0
7,60,2,0
7.0,61.0,4.0,5412.63
7.0,62.0,7.0,4934.0
7,63,5,0
7.0,64.0,7.0,4908.513
7,65,5,0
7.0,66.0,13.0,3980.2
7.0,67.0,8.0,5676.0
7,68,6,0
7.0,69.0,3.0,5123.56
7.0,70.0,9.0,5952.0
7.0,71.0,9.0,5083.197
7.0,72.0,7.0,8562.5
7.0,73.0,9.0,9319.5
7.0,74.0,14.0,6628.5
7.0,75.0,6.0,4484.0
7.0,76.0,1.0,5610.9336
7,77,5,0
7,78,6,0
7.0,79.0,6.0,5269.0
7,80,8,0
7,81,4,0
7.0,82.0,7.0,4092.39
7,83,2,0
7.0,84.0,4.0,3486.3333
7,85,2,0
7,86,2,0
7,87,6,0
7,88,6,0
7,89,3,0
7.0,90.0,3.0,4120.11
7,91,2,0
7,92,3,0
7,93,1,0
7,94,3,0
7,95,3,0
7,96,2,0
7.0,97.0,6.0,3479.705
7,98,3,0
7,99,2,0
8,0,1,0
8.0,1.0,1.0,3833.56
8,2,1,0
8,3,0,0
8,4,0,0
8.0,5.0,4.0,4940.0
8,6,0,0
8,7,1,0
8,8,0,0
8,9,0,0
8,10,1,0
8.0,11.0,2.0,5748.0
8.0,12.0,2.0,5427.6665
8,13,2,0
8.0,14.0,2.0,4891.0
8,15,1,0
8,16,0,0
8,17,2,0
8,18,1,0
8.0,19.0,2.0,3913.4797
8,20,0,0
8,21,0,0
8,22,2,0
8.0,23.0,4.0,4010.7976
8.0,24.0,1.0,4812.0
8,25,0,0
8,26,1,0
8,27,0,0
8.0,28.0,3.0,5870.8926
8.0,29.0,4.0,3776.6602
8,30,0,0
8,31,2,0
8.0,32.0,2.0,3654.9
8.0,33.0,3.0,3846.25
8,34,1,0
8.0,35.0,5.0,5400.0
8,36,2,0
8.0,37.0,9.0,4256.0
8.0,38.0,5.0,3488.0
8,39,2,0
8.0,40.0,4.0,4241.22
8.0,41.0,2.0,3447.0
8,42,4,0
8,43,2,0
8.0,44.0,2.0,3659.0
8,45,0,0
8,46,3,0
8.0,47.0,5.0,3410.0
8,48,4,0
8,49,2,0
8.0,50.0,6.0,6817.0
8.0,51.0,6.0,4414.09
8.0,52.0,2.0,4100.66
8.0,53.0,2.0,3777.0825
8.0,54.0,3.0,4928.61
8.0,55.0,6.0,5628.0
8.0,56.0,7.0,3517.3333
8.0,57.0,5.0,4003.25
8.0,58.0,5.0,5344.05
8.0,59.0,7.0,4162.98
8,60,1,0
8.0,61.0,6.0,3987.825
8.0,62.0,8.0,4922.0
8.0,63.0,6.0,3845.0
8.0,64.0,8.0,4856.177
8.0,65.0,6.0,5482.315
8,66,6,0
8,67,6,0
8.0,68.0,6.0,5503.8765
8.0,69.0,9.0,8868.667
8.0,70.0,7.0,5831.0
8.0,71.0,6.0,4488.4
8.0,72.0,6.0,8728.0
8.0,73.0,10.0,9147.0
8.0,74.0,5.0,5239.955
8.0,75.0,7.0,4226.277
8,76,3,0
8.0,77.0,6.0,3600.0
8.0,78.0,6.0,5972.0
8.0,79.0,9.0,3668.0
8.0,80.0,3.0,5350.25
8.0,81.0,6.0,3872.9976
8,82,6,0
8,83,4,0
8.0,84.0,4.0,3862.0203
8,85,8,0
8,86,2,0
8,87,2,0
8,88,1,0
8,89,5,0
8,90,2,0
8,91,5,0
8,92,1,0
8,93,2,0
8,94,3,0
8,95,3,0
8,96,2,0
8,97,2,0
8,98,3,0
8,99,1,0
9,0,0,0
9.0,1.0,1.0,5339.0
9,2,0,0
9.0,3.0,4.0,5607.0547
9,4,1,0
9,5,0,0
9,6,1,0
9,7,1,0
9,8,0,0
9,9,0,0
9.0,10.0,2.0,5542.75
9,11,1,0
9.0,12.0,3.0,4723.34
9,13,0,0
9,14,1,0
9.0,15.0,1.0,6361.0
9.0,16.0,2.0,3789.9475
9,17,0,0
9,18,0,0
9,19,0,0
9.0,20.0,2.0,5370.025
9.0,21.0,3.0,4895.71
9,22,0,0
9.0,23.0,2.0,3894.45
9,24,1,0
9,25,2,0
9,26,0,0
9,27,2,0
9.0,28.0,3.0,5313.0
9,29,0,0
9.0,30.0,1.0,3686.0
9,31,3,0
9,32,1,0
9,33,1,0
9.0,34.0,2.0,4175.285
9.0,35.0,2.0,5209.7227
9.0,36.0,2.0,3556.2375
9.0,37.0,3.0,6278.01
9.0,38.0,3.0,3916.6667
9,39,1,0
9.0,40.0,5.0,4332.6626
9.0,41.0,3.0,5233.3867
9,42,2,0
9,43,1,0
9,44,1,0
9,45,4,0
9.0,46.0,7.0,5771.0
9.0,47.0,4.0,4922.75
9.0,48.0,3.0,5512.0
9.0,49.0,4.0,4122.5566
9.0,50.0,4.0,4386.0
9.0,51.0,5.0,4122.3335
9.0,52.0,4.0,5043.41
9,53,2,0
9,54,11,0
9,55,1,0
9.0,56.0,6.0,4964.0947
9.0,57.0,5.0,5785.0
9.0,58.0,8.0,5305.82
9,59,3,0
9,60,1,0
9,61,5,0
9,62,8,0
9.0,63.0,4.0,5337.0
9.0,64.0,5.0,4444.83
9.0,65.0,6.0,5836.55
9.0,66.0,7.0,8561.333
9.0,67.0,14.0,5363.3076
9.0,68.0,5.0,8640.0
9.0,69.0,6.0,8582.667
9.0,70.0,8.0,4414.2954
9.0,71.0,14.0,8144.3335
9.0,72.0,8.0,4202.075
9.0,73.0,9.0,8613.75
9.0,74.0,10.0,9205.0
9,75,5,0
9.0,76.0,7.0,4235.495
9,77,3,0
9.0,78.0,10.0,5143.6665
9,79,3,0
9,80,3,0
9,81,4,0
9,82,4,0
9,83,2,0
9,84,1,0
9.0,85.0,8.0,5350.0
9,86,5,0
9,87,1,0
9.0,88.0,1.0,3648.42
9,89,4,0
9,90,2,0
9,91,5,0
9,92,1,0
9,93,5,0
9,94,2,0
9,95,2,0
9,96,3,0
9,97,1,0
9,98,3,0
9,99,1,0
10,0,0,0
10.0,1.0,1.0,3926.0
10,2,0,0
10.0,3.0,1.0,5058.16
10.0,4.0,2.0,5286.9
10.0,5.0,1.0,3335.5176
10,6,1,0
10.0,7.0,3.0,5000.0
10,8,2,0
10,9,0,0
10,10,1,0
10,11,1,0
10.0,12.0,2.0,4864.5
10,13,1,0
10.0,14.0,1.0,4048.57
10.0,15.0,2.0,5442.0
10,16,1,0
10,17,1,0
10.0,18.0,2.0,5500.0
10,19,3,0
10.0,20.0,2.0,5469.0
10,21,2,0
10.0,22.0,2.0,6345.3335
10.0,23.0,5.0,3296.6667
10.0,24.0,2.0,4226.0
10,25,2,0
10.0,26.0,1.0,3954.9727
10.0,27.0,3.0,5800.5
10.0,28.0,4.0,6178.813
10.0,29.0,2.0,4439.0
10.0,30.0,2.0,5565.6177
10.0,31.0,5.0,4070.8132
10,32,2,0
10,33,1,0
10.0,34.0,1.0,5327.0
10,35,0,0
10.0,36.0,3.0,3858.7266
10.0,37.0,2.0,3692.38
10.0,38.0,8.0,9626.25
10.0,39.0,3.0,5431.0
10.0,40.0,2.0,3811.1533
10,41,1,0
10.0,42.0,5.0,9045.0
10,43,1,0
10.0,44.0,2.0,5368.6177
10.0,45.0,3.0,4933.1665
10.0,46.0,3.0,9240.5
10.0,47.0,4.0,3870.0
10.0,48.0,7.0,5000.0
10.0,49.0,8.0,4525.2563
10,50,4,0
10.0,51.0,1.0,3733.7124
10.0,52.0,6.0,5201.3335
10,53,3,0
10.0,54.0,4.0,4123.78
10,55,0,0
10.0,56.0,11.0,5815.0
10.0,57.0,12.0,5000.0
10.0,58.0,4.0,3949.0
10.0,59.0,7.0,3592.0
10,60,4,0
10.0,61.0,4.0,4036.145
10,62,4,0
10.0,63.0,7.0,5292.4805
10.0,64.0,8.0,5550.9224
10.0,65.0,7.0,3806.075
10.0,66.0,8.0,4407.5
10.0,67.0,12.0,9406.5
10,68,5,0
10.0,69.0,20.0,9566.0
10.0,70.0,6.0,5501.25
10.0,71.0,11.0,3728.0
10.0,72.0,9.0,8140.5
10.0,73.0,10.0,7662.355
10.0,74.0,8.0,4962.48
10.0,75.0,12.0,8378.0
10.0,76.0,6.0,3689.0
10.0,77.0,6.0,4424.7075
10,78,6,0
10,79,5,0
10,80,3,0
10.0,81.0,4.0,3915.97
10,82,2,0
10,83,1,0
10,84,4,0
10.0,85.0,8.0,5730.8804
10,86,3,0
10,87,5,0
10,88,5,0
10,89,4,0
10,90,3,0
10.0,91.0,4.0,5542.8374
10,92,1,0
10,93,0,0
10,94,3,0
10,95,3,0
10.0,96.0,2.0,3812.995
10,97,0,0
10,98,3,0
10,99,1,0
11,0,1,0
11.0,1.0,2.0,3883.93
11.0,2.0,1.0,5788.3335
11.0,3.0,3.0,5470.47
11,4,1,0
