ra,dec,total,score,avg
91.0,0.0,1.0,1.0,1.0
91.0,1.0,1.0,100.0,100.0
91.0,2.0,1.0,100.0,100.0
91.0,3.0,2.0,2.0,1.0
91.0,4.0,1.0,1.0,1.0
91.0,5.0,2.0,101.0,50.5
91.0,6.0,3.0,102.0,34.0
91.0,7.0,2.0,101.0,50.5
91.0,8.0,4.0,202.0,50.5
91.0,9.0,4.0,103.0,25.75
91.0,10.0,1.0,1.0,1.0
91.0,11.0,1.0,1.0,1.0
91.0,12.0,7.0,106.0,15.142857142857142
91.0,13.0,3.0,3.0,1.0
91.0,14.0,3.0,102.0,34.0
91.0,15.0,8.0,8.0,1.0
91.0,16.0,3.0,3.0,1.0
91.0,17.0,7.0,7.0,1.0
91.0,18.0,5.0,5.0,1.0
91.0,19.0,19.0,19.0,1.0
91.0,20.0,43.0,142.0,3.302325581395349
91.0,21.0,48.0,48.0,1.0
91.0,22.0,74.0,74.0,1.0
91.0,23.0,54.0,54.0,1.0
91.0,24.0,67.0,166.0,2.4776119402985075
91.0,25.0,45.0,45.0,1.0
91.0,26.0,69.0,168.0,2.4347826086956523
91.0,27.0,70.0,169.0,2.414285714285714
91.0,28.0,69.0,168.0,2.4347826086956523
91.0,29.0,63.0,72.0,1.1428571428571428
91.0,30.0,74.0,173.0,2.3378378378378377
91.0,31.0,75.0,75.0,1.0
91.0,32.0,49.0,148.0,3.020408163265306
91.0,33.0,58.0,58.0,1.0
91.0,34.0,67.0,166.0,2.4776119402985075
91.0,35.0,73.0,73.0,1.0
91.0,36.0,47.0,245.0,5.212765957446808
91.0,37.0,88.0,286.0,3.25
91.0,38.0,92.0,290.0,3.152173913043478
91.0,39.0,87.0,285.0,3.2758620689655173
91.0,40.0,80.0,80.0,1.0
91.0,41.0,78.0,177.0,2.269230769230769
91.0,42.0,105.0,105.0,1.0
91.0,43.0,101.0,200.0,1.9801980198019802
91.0,44.0,111.0,111.0,1.0
91.0,45.0,109.0,109.0,1.0
91.0,46.0,104.0,203.0,1.9519230769230769
91.0,47.0,124.0,223.0,1.7983870967741935
91.0,48.0,127.0,226.0,1.779527559055118
91.0,49.0,107.0,404.0,3.7757009345794392
91.0,50.0,145.0,442.0,3.0482758620689654
91.0,51.0,169.0,466.0,2.757396449704142
91.0,52.0,142.0,340.0,2.3943661971830985
91.0,53.0,132.0,132.0,1.0
91.0,54.0,169.0,664.0,3.9289940828402368
91.0,55.0,183.0,876.0,4.786885245901639
91.0,56.0,159.0,861.0,5.415094339622642
91.0,57.0,200.0,299.0,1.495
91.0,58.0,180.0,774.0,4.3
91.0,59.0,165.0,363.0,2.2
91.0,60.0,144.0,540.0,3.75
91.0,61.0,141.0,339.0,2.404255319148936
91.0,62.0,176.0,671.0,3.8125
91.0,63.0,160.0,556.0,3.475
91.0,64.0,130.0,625.0,4.8076923076923075
91.0,65.0,157.0,454.0,2.8917197452229297
91.0,66.0,102.0,498.0,4.882352941176471
91.0,67.0,151.0,250.0,1.6556291390728477
91.0,68.0,104.0,401.0,3.855769230769231
91.0,69.0,104.0,401.0,3.855769230769231
91.0,70.0,103.0,202.0,1.9611650485436893
91.0,71.0,90.0,189.0,2.1
91.0,72.0,125.0,125.0,1.0
91.0,73.0,77.0,176.0,2.2857142857142856
91.0,74.0,89.0,386.0,4.337078651685394
91.0,75.0,94.0,292.0,3.106382978723404
91.0,76.0,92.0,191.0,2.0760869565217392
91.0,77.0,89.0,584.0,6.561797752808989
91.0,78.0,101.0,398.0,3.9405940594059405
91.0,79.0,89.0,89.0,1.0
91.0,80.0,75.0,372.0,4.96
91.0,81.0,87.0,384.0,4.413793103448276
91.0,82.0,86.0,383.0,4.453488372093023
91.0,83.0,55.0,154.0,2.8
91.0,84.0,85.0,184.0,2.164705882352941
91.0,85.0,58.0,58.0,1.0
91.0,86.0,45.0,144.0,3.2
91.0,87.0,57.0,156.0,2.736842105263158
91.0,88.0,48.0,147.0,3.0625
91.0,89.0,129.0,129.0,1.0
91.0,90.0,58.0,256.0,4.413793103448276
91.0,91.0,38.0,137.0,3.6052631578947367
91.0,92.0,54.0,153.0,2.8333333333333335
91.0,93.0,31.0,31.0,1.0
91.0,94.0,25.0,25.0,1.0
91.0,95.0,38.0,38.0,1.0
91.0,96.0,26.0,224.0,8.615384615384615
91.0,97.0,33.0,231.0,7.0
91.0,98.0,14.0,212.0,15.142857142857142
91,99,0,0,0
92,0,0,0,0
92,1,0,0,0
92.0,2.0,1.0,100.0,100.0
92.0,3.0,3.0,102.0,34.0
92.0,4.0,3.0,102.0,34.0
92,5,0,0,0
92.0,6.0,2.0,101.0,50.5
92.0,7.0,1.0,1.0,1.0
92.0,8.0,3.0,102.0,34.0
92.0,9.0,1.0,1.0,1.0
92.0,10.0,2.0,2.0,1.0
92.0,11.0,2.0,200.0,100.0
92.0,12.0,3.0,102.0,34.0
92.0,13.0,4.0,103.0,25.75
92.0,14.0,6.0,6.0,1.0
92.0,15.0,5.0,104.0,20.8
92.0,16.0,3.0,3.0,1.0
92.0,17.0,3.0,102.0,34.0
92.0,18.0,9.0,9.0,1.0
92.0,19.0,23.0,23.0,1.0
92.0,20.0,58.0,58.0,1.0
92.0,21.0,67.0,166.0,2.4776119402985075
92.0,22.0,53.0,152.0,2.8679245283018866
92.0,23.0,38.0,236.0,6.2105263157894735
92.0,24.0,46.0,46.0,1.0
92.0,25.0,42.0,240.0,5.714285714285714
92.0,26.0,55.0,55.0,1.0
92.0,27.0,62.0,161.0,2.596774193548387
92.0,28.0,35.0,35.0,1.0
92.0,29.0,49.0,247.0,5.040816326530612
92.0,30.0,59.0,257.0,4.3559322033898304
92.0,31.0,42.0,42.0,1.0
92.0,32.0,64.0,64.0,1.0
92.0,33.0,52.0,52.0,1.0
92.0,34.0,66.0,66.0,1.0
92.0,35.0,62.0,161.0,2.596774193548387
92.0,36.0,67.0,166.0,2.4776119402985075
92.0,37.0,65.0,65.0,1.0
92.0,38.0,81.0,81.0,1.0
92.0,39.0,59.0,158.0,2.6779661016949152
92.0,40.0,92.0,191.0,2.0760869565217392
92.0,41.0,78.0,276.0,3.5384615384615383
92.0,42.0,103.0,103.0,1.0
92.0,43.0,119.0,614.0,5.159663865546219
92.0,44.0,85.0,580.0,6.823529411764706
92.0,45.0,84.0,282.0,3.357142857142857
92.0,46.0,104.0,500.0,4.8076923076923075
92.0,47.0,77.0,275.0,3.5714285714285716
92.0,48.0,108.0,405.0,3.75
92.0,49.0,138.0,435.0,3.152173913043478
92.0,50.0,157.0,454.0,2.8917197452229297
92.0,51.0,119.0,218.0,1.8319327731092436
92.0,52.0,128.0,128.0,1.0
92.0,53.0,144.0,441.0,3.0625
92.0,54.0,136.0,532.0,3.911764705882353
92.0,55.0,152.0,746.0,4.907894736842105
92.0,56.0,146.0,443.0,3.0342465753424657
92.0,57.0,128.0,920.0,7.1875
92.0,58.0,177.0,474.0,2.6779661016949152
92.0,59.0,152.0,449.0,2.9539473684210527
92.0,60.0,136.0,334.0,2.4558823529411766
92.0,61.0,132.0,429.0,3.25
92.0,62.0,147.0,642.0,4.36734693877551
92.0,63.0,171.0,468.0,2.736842105263158
92.0,64.0,130.0,526.0,4.046153846153846
92.0,65.0,127.0,721.0,5.677165354330708
92.0,66.0,115.0,511.0,4.443478260869565
92.0,67.0,144.0,441.0,3.0625
92.0,68.0,111.0,309.0,2.7837837837837838
92.0,69.0,81.0,279.0,3.4444444444444446
92.0,70.0,104.0,302.0,2.9038461538461537
92.0,71.0,92.0,290.0,3.152173913043478
92.0,72.0,104.0,401.0,3.855769230769231
92.0,73.0,119.0,317.0,2.6638655462184873
92.0,74.0,111.0,111.0,1.0
92.0,75.0,74.0,74.0,1.0
92.0,76.0,96.0,96.0,1.0
92.0,77.0,116.0,413.0,3.560344827586207
92.0,78.0,103.0,301.0,2.9223300970873787
92.0,79.0,70.0,268.0,3.8285714285714287
92.0,80.0,57.0,156.0,2.736842105263158
92.0,81.0,64.0,163.0,2.546875
92.0,82.0,65.0,65.0,1.0
92.0,83.0,113.0,113.0,1.0
92.0,84.0,65.0,164.0,2.523076923076923
92.0,85.0,55.0,154.0,2.8
92.0,86.0,66.0,165.0,2.5
92.0,87.0,69.0,267.0,3.869565217391304
92.0,88.0,54.0,252.0,4.666666666666667
92.0,89.0,122.0,122.0,1.0
92.0,90.0,48.0,147.0,3.0625
92.0,91.0,37.0,136.0,3.675675675675676
92.0,92.0,28.0,28.0,1.0
92.0,93.0,32.0,131.0,4.09375
92.0,94.0,34.0,34.0,1.0
92.0,95.0,22.0,220.0,10.0
92.0,96.0,41.0,239.0,5.829268292682927
92.0,97.0,33.0,33.0,1.0
92.0,98.0,15.0,213.0,14.2
92.0,99.0,3.0,102.0,34.0
93.0,0.0,1.0,1.0,1.0
93.0,1.0,2.0,101.0,50.5
93.0,2.0,1.0,100.0,100.0
93.0,3.0,3.0,3.0,1.0
93.0,4.0,5.0,203.0,40.6
93,5,0,0,0
93.0,6.0,1.0,100.0,100.0
93.0,7.0,3.0,102.0,34.0
93.0,8.0,2.0,2.0,1.0
93.0,9.0,1.0,1.0,1.0
93.0,10.0,2.0,200.0,100.0
93.0,11.0,1.0,100.0,100.0
93.0,12.0,5.0,5.0,1.0
93.0,13.0,4.0,103.0,25.75
93.0,14.0,6.0,303.0,50.5
93.0,15.0,2.0,2.0,1.0
93.0,16.0,5.0,104.0,20.8
93.0,17.0,9.0,108.0,12.0
93.0,18.0,7.0,106.0,15.142857142857142
93.0,19.0,21.0,21.0,1.0
93.0,20.0,30.0,129.0,4.3
93.0,21.0,44.0,143.0,3.25
93.0,22.0,44.0,53.0,1.2045454545454546
93.0,23.0,72.0,72.0,1.0
93.0,24.0,56.0,254.0,4.535714285714286
93.0,25.0,71.0,170.0,2.3943661971830985
93.0,26.0,53.0,53.0,1.0
93.0,27.0,32.0,131.0,4.09375
93.0,28.0,52.0,52.0,1.0
93.0,29.0,51.0,150.0,2.9411764705882355
93.0,30.0,91.0,190.0,2.087912087912088
93.0,31.0,77.0,275.0,3.5714285714285716
93.0,32.0,52.0,52.0,1.0
93.0,33.0,55.0,154.0,2.8
93.0,34.0,63.0,162.0,2.5714285714285716
93.0,35.0,60.0,258.0,4.3
93.0,36.0,69.0,69.0,1.0
93.0,37.0,60.0,159.0,2.65
93.0,38.0,91.0,91.0,1.0
93.0,39.0,70.0,169.0,2.414285714285714
93.0,40.0,76.0,373.0,4.907894736842105
93.0,41.0,68.0,68.0,1.0
93.0,42.0,107.0,404.0,3.7757009345794392
93.0,43.0,99.0,495.0,5.0
93.0,44.0,86.0,185.0,2.1511627906976742
93.0,45.0,123.0,321.0,2.6097560975609757
93.0,46.0,122.0,320.0,2.622950819672131
93.0,47.0,119.0,317.0,2.6638655462184873
93.0,48.0,138.0,435.0,3.152173913043478
93.0,49.0,129.0,525.0,4.069767441860465
93.0,50.0,124.0,322.0,2.596774193548387
93.0,51.0,123.0,420.0,3.4146341463414633
93.0,52.0,129.0,228.0,1.7674418604651163
93.0,53.0,126.0,126.0,1.0
93.0,54.0,155.0,551.0,3.554838709677419
93.0,55.0,124.0,331.0,2.6693548387096775
93.0,56.0,169.0,763.0,4.514792899408284
93.0,57.0,162.0,756.0,4.666666666666667
93.0,58.0,172.0,667.0,3.877906976744186
93.0,59.0,163.0,361.0,2.214723926380368
93.0,60.0,148.0,544.0,3.675675675675676
93.0,61.0,152.0,251.0,1.6513157894736843
93.0,62.0,174.0,273.0,1.5689655172413792
93.0,63.0,117.0,513.0,4.384615384615385
93.0,64.0,176.0,176.0,1.0
93.0,65.0,121.0,418.0,3.4545454545454546
93.0,66.0,155.0,452.0,2.9161290322580644
93.0,67.0,166.0,463.0,2.789156626506024
93.0,68.0,136.0,334.0,2.4558823529411766
93.0,69.0,83.0,479.0,5.771084337349397
93.0,70.0,103.0,301.0,2.9223300970873787
93.0,71.0,100.0,199.0,1.99
93.0,72.0,98.0,197.0,2.010204081632653
93.0,73.0,113.0,113.0,1.0
93.0,74.0,104.0,401.0,3.855769230769231
93.0,75.0,100.0,100.0,1.0
93.0,76.0,79.0,277.0,3.5063291139240507
93.0,77.0,111.0,408.0,3.675675675675676
93.0,78.0,113.0,410.0,3.6283185840707963
93.0,79.0,93.0,93.0,1.0
93.0,80.0,82.0,181.0,2.207317073170732
93.0,81.0,75.0,174.0,2.32
93.0,82.0,79.0,178.0,2.2531645569620253
93.0,83.0,81.0,378.0,4.666666666666667
93.0,84.0,76.0,184.0,2.4210526315789473
93.0,85.0,73.0,73.0,1.0
93.0,86.0,51.0,249.0,4.882352941176471
93.0,87.0,57.0,156.0,2.736842105263158
93.0,88.0,69.0,69.0,1.0
93.0,89.0,133.0,331.0,2.488721804511278
93.0,90.0,52.0,151.0,2.9038461538461537
93.0,91.0,48.0,246.0,5.125
93.0,92.0,26.0,125.0,4.8076923076923075
93.0,93.0,32.0,131.0,4.09375
93.0,94.0,42.0,42.0,1.0
93.0,95.0,36.0,234.0,6.5
93.0,96.0,27.0,27.0,1.0
93.0,97.0,43.0,142.0,3.302325581395349
93.0,98.0,26.0,26.0,1.0
93.0,99.0,4.0,4.0,1.0
94,0,0,0,0
94.0,1.0,1.0,1.0,1.0
94.0,2.0,4.0,202.0,50.5
94.0,3.0,1.0,1.0,1.0
94.0,4.0,1.0,100.0,100.0
94.0,5.0,2.0,2.0,1.0
94.0,6.0,4.0,301.0,75.25
94.0,7.0,2.0,2.0,1.0
94.0,8.0,4.0,103.0,25.75
94.0,9.0,5.0,302.0,60.4
94.0,10.0,3.0,201.0,67.0
94.0,11.0,1.0,100.0,100.0
94.0,12.0,4.0,103.0,25.75
94.0,13.0,4.0,4.0,1.0
94.0,14.0,5.0,203.0,40.6
94.0,15.0,6.0,105.0,17.5
94.0,16.0,5.0,302.0,60.4
94.0,17.0,2.0,2.0,1.0
94.0,18.0,3.0,3.0,1.0
94.0,19.0,17.0,17.0,1.0
94.0,20.0,58.0,58.0,1.0
94.0,21.0,65.0,164.0,2.523076923076923
94.0,22.0,31.0,229.0,7.387096774193548
94.0,23.0,54.0,162.0,3.0
94.0,24.0,57.0,255.0,4.473684210526316
94.0,25.0,59.0,158.0,2.6779661016949152
94.0,26.0,54.0,153.0,2.8333333333333335
94.0,27.0,55.0,55.0,1.0
94.0,28.0,69.0,168.0,2.4347826086956523
94.0,29.0,62.0,359.0,5.790322580645161
94.0,30.0,47.0,146.0,3.106382978723404
94.0,31.0,61.0,259.0,4.245901639344262
94.0,32.0,49.0,49.0,1.0
94.0,33.0,72.0,270.0,3.75
94.0,34.0,50.0,50.0,1.0
94.0,35.0,59.0,257.0,4.3559322033898304
94.0,36.0,50.0,149.0,2.98
94.0,37.0,63.0,261.0,4.142857142857143
94.0,38.0,61.0,160.0,2.622950819672131
94.0,39.0,70.0,169.0,2.414285714285714
94.0,40.0,84.0,282.0,3.357142857142857
94.0,41.0,68.0,167.0,2.4558823529411766
94.0,42.0,105.0,501.0,4.771428571428571
94.0,43.0,103.0,607.0,5.893203883495145
94.0,44.0,99.0,198.0,2.0
94.0,45.0,104.0,203.0,1.9519230769230769
94.0,46.0,119.0,218.0,1.8319327731092436
94.0,47.0,130.0,427.0,3.2846153846153845
94.0,48.0,113.0,212.0,1.8761061946902655
94.0,49.0,104.0,401.0,3.855769230769231
94.0,50.0,127.0,325.0,2.559055118110236
94.0,51.0,134.0,233.0,1.7388059701492538
94.0,52.0,153.0,351.0,2.2941176470588234
94.0,53.0,116.0,314.0,2.706896551724138
94.0,54.0,151.0,448.0,2.966887417218543
94.0,55.0,180.0,477.0,2.65
94.0,56.0,134.0,332.0,2.4776119402985075
94.0,57.0,155.0,947.0,6.109677419354838
94.0,58.0,132.0,330.0,2.5
94.0,59.0,162.0,261.0,1.6111111111111112
94.0,60.0,155.0,551.0,3.554838709677419
94.0,61.0,135.0,333.0,2.466666666666667
94.0,62.0,142.0,538.0,3.788732394366197
94.0,63.0,102.0,201.0,1.9705882352941178
94.0,64.0,132.0,528.0,4.0
94.0,65.0,119.0,515.0,4.3277310924369745
94.0,66.0,119.0,218.0,1.8319327731092436
94.0,67.0,133.0,529.0,3.9774436090225564
94.0,68.0,79.0,277.0,3.5063291139240507
94.0,69.0,105.0,600.0,5.714285714285714
94.0,70.0,85.0,382.0,4.4941176470588236
94.0,71.0,87.0,87.0,1.0
94.0,72.0,113.0,113.0,1.0
94.0,73.0,90.0,90.0,1.0
94.0,74.0,83.0,83.0,1.0
94.0,75.0,72.0,171.0,2.375
94.0,76.0,78.0,375.0,4.8076923076923075
94.0,77.0,82.0,82.0,1.0
94.0,78.0,110.0,506.0,4.6
94.0,79.0,86.0,185.0,2.1511627906976742
94.0,80.0,73.0,172.0,2.356164383561644
94.0,81.0,58.0,157.0,2.706896551724138
94.0,82.0,66.0,165.0,2.5
94.0,83.0,74.0,371.0,5.013513513513513
94.0,84.0,74.0,272.0,3.675675675675676
94.0,85.0,64.0,460.0,7.1875
94.0,86.0,56.0,254.0,4.535714285714286
94.0,87.0,62.0,62.0,1.0
94.0,88.0,40.0,238.0,5.95
94.0,89.0,128.0,227.0,1.7734375
94.0,90.0,35.0,35.0,1.0
94.0,91.0,45.0,243.0,5.4
94.0,92.0,39.0,237.0,6.076923076923077
94.0,93.0,42.0,141.0,3.357142857142857
94.0,94.0,26.0,125.0,4.8076923076923075
94.0,95.0,34.0,133.0,3.911764705882353
94.0,96.0,26.0,26.0,1.0
94.0,97.0,29.0,29.0,1.0
94.0,98.0,17.0,17.0,1.0
94.0,99.0,3.0,3.0,1.0
95,0,0,0,0
95.0,1.0,1.0,1.0,1.0
95.0,2.0,3.0,102.0,34.0
95.0,3.0,3.0,3.0,1.0
95.0,4.0,1.0,100.0,100.0
95.0,5.0,1.0,1.0,1.0
95.0,6.0,4.0,301.0,75.25
95.0,7.0,1.0,1.0,1.0
95.0,8.0,5.0,203.0,40.6
95.0,9.0,3.0,102.0,34.0
95.0,10.0,5.0,104.0,20.8
95.0,11.0,2.0,101.0,50.5
95.0,12.0,1.0,1.0,1.0
95.0,13.0,1.0,1.0,1.0
95.0,14.0,2.0,2.0,1.0
95.0,15.0,14.0,14.0,1.0
95.0,16.0,4.0,103.0,25.75
95.0,17.0,2.0,2.0,1.0
95.0,18.0,4.0,103.0,25.75
95.0,19.0,21.0,21.0,1.0
95.0,20.0,35.0,134.0,3.8285714285714287
95.0,21.0,59.0,59.0,1.0
95.0,22.0,67.0,67.0,1.0
95.0,23.0,46.0,46.0,1.0
95.0,24.0,42.0,141.0,3.357142857142857
95.0,25.0,57.0,156.0,2.736842105263158
95.0,26.0,74.0,173.0,2.3378378378378377
95.0,27.0,27.0,27.0,1.0
95.0,28.0,55.0,154.0,2.8
95.0,29.0,63.0,63.0,1.0
95.0,30.0,63.0,261.0,4.142857142857143
95.0,31.0,62.0,62.0,1.0
95.0,32.0,63.0,261.0,4.142857142857143
95.0,33.0,57.0,57.0,1.0
95.0,34.0,71.0,269.0,3.788732394366197
95.0,35.0,63.0,261.0,4.142857142857143
95.0,36.0,62.0,62.0,1.0
95.0,37.0,55.0,154.0,2.8
95.0,38.0,65.0,65.0,1.0
95.0,39.0,77.0,77.0,1.0
95.0,40.0,74.0,74.0,1.0
95.0,41.0,67.0,265.0,3.955223880597015
95.0,42.0,103.0,202.0,1.9611650485436893
95.0,43.0,110.0,308.0,2.8
95.0,44.0,96.0,195.0,2.03125
95.0,45.0,113.0,212.0,1.8761061946902655
95.0,46.0,124.0,322.0,2.596774193548387
95.0,47.0,122.0,320.0,2.622950819672131
95.0,48.0,106.0,205.0,1.9339622641509433
95.0,49.0,101.0,497.0,4.920792079207921
95.0,50.0,122.0,419.0,3.4344262295081966
95.0,51.0,140.0,536.0,3.8285714285714287
95.0,52.0,115.0,313.0,2.7217391304347824
95.0,53.0,138.0,435.0,3.152173913043478
95.0,54.0,169.0,466.0,2.757396449704142
95.0,55.0,154.0,748.0,4.857142857142857
95.0,56.0,163.0,163.0,1.0
95.0,57.0,133.0,232.0,1.744360902255639
95.0,58.0,150.0,348.0,2.32
95.0,59.0,140.0,536.0,3.8285714285714287
95.0,60.0,178.0,475.0,2.668539325842697
95.0,61.0,156.0,750.0,4.8076923076923075
95.0,62.0,174.0,372.0,2.1379310344827585
95.0,63.0,158.0,356.0,2.2531645569620253
95.0,64.0,105.0,303.0,2.8857142857142857
95.0,65.0,135.0,630.0,4.666666666666667
95.0,66.0,122.0,320.0,2.622950819672131
95.0,67.0,113.0,410.0,3.6283185840707963
95.0,68.0,90.0,189.0,2.1
95.0,69.0,107.0,503.0,4.700934579439252
95.0,70.0,97.0,295.0,3.0412371134020617
95.0,71.0,113.0,212.0,1.8761061946902655
95.0,72.0,85.0,85.0,1.0
95.0,73.0,84.0,381.0,4.535714285714286
95.0,74.0,102.0,102.0,1.0
95.0,75.0,85.0,283.0,3.3294117647058825
95.0,76.0,83.0,182.0,2.1927710843373496
95.0,77.0,103.0,202.0,1.9611650485436893
95.0,78.0,71.0,170.0,2.3943661971830985
95.0,79.0,88.0,286.0,3.25
95.0,80.0,65.0,263.0,4.046153846153846
95.0,81.0,50.0,248.0,4.96
95.0,82.0,90.0,189.0,2.1
95.0,83.0,99.0,198.0,2.0
95.0,84.0,78.0,177.0,2.269230769230769
95.0,85.0,40.0,139.0,3.475
95.0,86.0,37.0,235.0,6.351351351351352
95.0,87.0,49.0,148.0,3.020408163265306
95.0,88.0,43.0,241.0,5.604651162790698
95.0,89.0,116.0,215.0,1.853448275862069
95.0,90.0,52.0,349.0,6.711538461538462
95.0,91.0,34.0,133.0,3.911764705882353
95.0,92.0,48.0,444.0,9.25
95.0,93.0,39.0,147.0,3.769230769230769
95.0,94.0,35.0,233.0,6.6571428571428575
95.0,95.0,37.0,136.0,3.675675675675676
95.0,96.0,28.0,28.0,1.0
95.0,97.0,28.0,226.0,8.071428571428571
95.0,98.0,22.0,121.0,5.5
95.0,99.0,1.0,1.0,1.0
96,0,0,0,0
96.0,1.0,2.0,2.0,1.0
96.0,2.0,2.0,2.0,1.0
96,3,0,0,0
96.0,4.0,4.0,4.0,1.0
96.0,5.0,1.0,1.0,1.0
96,6,0,0,0
96.0,7.0,1.0,1.0,1.0
96,8,0,0,0
96.0,9.0,3.0,201.0,67.0
96.0,10.0,6.0,204.0,34.0
96.0,11.0,1.0,100.0,100.0
96.0,12.0,3.0,3.0,1.0
96.0,13.0,6.0,204.0,34.0
96.0,14.0,8.0,107.0,13.375
96.0,15.0,4.0,4.0,1.0
96.0,16.0,2.0,2.0,1.0
96.0,17.0,5.0,5.0,1.0
96.0,18.0,4.0,103.0,25.75
96.0,19.0,18.0,216.0,12.0
96.0,20.0,29.0,128.0,4.413793103448276
96.0,21.0,53.0,53.0,1.0
96.0,22.0,61.0,61.0,1.0
96.0,23.0,32.0,32.0,1.0
96.0,24.0,57.0,57.0,1.0
96.0,25.0,42.0,42.0,1.0
96.0,26.0,53.0,53.0,1.0
96.0,27.0,37.0,37.0,1.0
96.0,28.0,63.0,261.0,4.142857142857143
96.0,29.0,56.0,56.0,1.0
96.0,30.0,66.0,66.0,1.0
96.0,31.0,57.0,156.0,2.736842105263158
96.0,32.0,72.0,270.0,3.75
96.0,33.0,74.0,173.0,2.3378378378378377
96.0,34.0,61.0,160.0,2.622950819672131
96.0,35.0,50.0,248.0,4.96
96.0,36.0,82.0,478.0,5.829268292682927
96.0,37.0,87.0,87.0,1.0
96.0,38.0,62.0,260.0,4.193548387096774
96.0,39.0,74.0,173.0,2.3378378378378377
96.0,40.0,102.0,300.0,2.9411764705882355
96.0,41.0,77.0,77.0,1.0
96.0,42.0,75.0,273.0,3.64
96.0,43.0,101.0,200.0,1.9801980198019802
96.0,44.0,94.0,94.0,1.0
96.0,45.0,111.0,408.0,3.675675675675676
96.0,46.0,117.0,315.0,2.6923076923076925
96.0,47.0,102.0,597.0,5.852941176470588
96.0,48.0,109.0,307.0,2.81651376146789
96.0,49.0,93.0,390.0,4.193548387096774
96.0,50.0,110.0,605.0,5.5
96.0,51.0,165.0,660.0,4.0
96.0,52.0,141.0,537.0,3.8085106382978724
96.0,53.0,138.0,237.0,1.7173913043478262
96.0,54.0,144.0,342.0,2.375
96.0,55.0,149.0,752.0,5.046979865771812
96.0,56.0,172.0,865.0,5.02906976744186
96.0,57.0,194.0,491.0,2.5309278350515463
96.0,58.0,217.0,613.0,2.824884792626728
96.0,59.0,176.0,770.0,4.375
96.0,60.0,162.0,558.0,3.4444444444444446
96.0,61.0,184.0,778.0,4.228260869565218
96.0,62.0,146.0,641.0,4.390410958904109
96.0,63.0,126.0,225.0,1.7857142857142858
96.0,64.0,124.0,421.0,3.3951612903225805
96.0,65.0,132.0,429.0,3.25
96.0,66.0,121.0,220.0,1.8181818181818181
96.0,67.0,130.0,823.0,6.3307692307692305
96.0,68.0,100.0,496.0,4.96
96.0,69.0,101.0,596.0,5.900990099009901
96.0,70.0,115.0,412.0,3.582608695652174
96.0,71.0,116.0,215.0,1.853448275862069
96.0,72.0,99.0,495.0,5.0
96.0,73.0,79.0,178.0,2.2531645569620253
96.0,74.0,73.0,271.0,3.712328767123288
96.0,75.0,81.0,279.0,3.4444444444444446
96.0,76.0,76.0,274.0,3.6052631578947367
96.0,77.0,36.0,135.0,3.75
96.0,78.0,75.0,174.0,2.32
96.0,79.0,86.0,86.0,1.0
96.0,80.0,81.0,180.0,2.2222222222222223
96.0,81.0,96.0,195.0,2.03125
96.0,82.0,78.0,177.0,2.269230769230769
96.0,83.0,109.0,109.0,1.0
96.0,84.0,95.0,95.0,1.0
96.0,85.0,54.0,153.0,2.8333333333333335
96.0,86.0,55.0,55.0,1.0
96.0,87.0,62.0,359.0,5.790322580645161
96.0,88.0,51.0,51.0,1.0
96.0,89.0,126.0,126.0,1.0
96.0,90.0,33.0,132.0,4.0
96.0,91.0,40.0,40.0,1.0
96.0,92.0,39.0,237.0,6.076923076923077
96.0,93.0,27.0,126.0,4.666666666666667
96.0,94.0,23.0,23.0,1.0
96.0,95.0,57.0,156.0,2.736842105263158
96.0,96.0,29.0,29.0,1.0
96.0,97.0,41.0,41.0,1.0
96.0,98.0,25.0,223.0,8.92
96.0,99.0,2.0,2.0,1.0
97.0,0.0,3.0,201.0,67.0
97,1,0,0,0
97.0,2.0,2.0,101.0,50.5
97,3,0,0,0
97,4,0,0,0
97.0,5.0,4.0,103.0,25.75
97.0,6.0,6.0,204.0,34.0
97,7,0,0,0
97.0,8.0,1.0,100.0,100.0
97.0,9.0,1.0,1.0,1.0
97.0,10.0,4.0,202.0,50.5
97.0,11.0,5.0,5.0,1.0
97.0,12.0,3.0,12.0,4.0
97,13,0,0,0
97.0,14.0,2.0,101.0,50.5
97.0,15.0,2.0,2.0,1.0
97.0,16.0,5.0,203.0,40.6
97.0,17.0,2.0,101.0,50.5
97.0,18.0,7.0,304.0,43.42857142857143
97.0,19.0,17.0,116.0,6.823529411764706
97.0,20.0,29.0,227.0,7.827586206896552
97.0,21.0,43.0,142.0,3.302325581395349
97.0,22.0,53.0,53.0,1.0
97.0,23.0,61.0,61.0,1.0
97.0,24.0,51.0,51.0,1.0
97.0,25.0,40.0,40.0,1.0
97.0,26.0,59.0,257.0,4.3559322033898304
97.0,27.0,51.0,150.0,2.9411764705882355
97.0,28.0,56.0,56.0,1.0
97.0,29.0,52.0,151.0,2.9038461538461537
97.0,30.0,60.0,159.0,2.65
97.0,31.0,75.0,75.0,1.0
97.0,32.0,61.0,358.0,5.868852459016393
97.0,33.0,59.0,59.0,1.0
97.0,34.0,67.0,265.0,3.955223880597015
97.0,35.0,62.0,161.0,2.596774193548387
97.0,36.0,67.0,67.0,1.0
97.0,37.0,85.0,283.0,3.3294117647058825
97.0,38.0,72.0,369.0,5.125
