ra,dec,total,score,avg
15.0,11.0,3.0,201.0,67.0
15,12,0,0,0
15.0,13.0,4.0,103.0,25.75
15,14,0,0,0
15,15,0,0,0
15.0,16.0,1.0,1.0,1.0
15.0,17.0,1.0,1.0,1.0
15.0,18.0,2.0,2.0,1.0
15.0,19.0,1.0,1.0,1.0
15,20,0,0,0
15.0,21.0,1.0,1.0,1.0
15,22,0,0,0
15.0,23.0,3.0,102.0,34.0
15.0,24.0,2.0,101.0,50.5
15,25,0,0,0
15.0,26.0,2.0,2.0,1.0
15.0,27.0,3.0,300.0,100.0
15.0,28.0,1.0,100.0,100.0
15,29,0,0,0
15,30,0,0,0
15.0,31.0,1.0,1.0,1.0
15.0,32.0,3.0,102.0,34.0
15.0,33.0,3.0,201.0,67.0
15.0,34.0,3.0,102.0,34.0
15.0,35.0,2.0,101.0,50.5
15.0,36.0,8.0,107.0,13.375
15,37,0,0,0
15.0,38.0,3.0,201.0,67.0
15.0,39.0,1.0,100.0,100.0
15.0,40.0,5.0,203.0,40.6
15.0,41.0,3.0,3.0,1.0
15,42,0,0,0
15.0,43.0,1.0,100.0,100.0
15.0,44.0,4.0,202.0,50.5
15.0,45.0,5.0,302.0,60.4
15.0,46.0,2.0,101.0,50.5
15.0,47.0,4.0,202.0,50.5
15.0,48.0,3.0,300.0,100.0
15.0,49.0,5.0,104.0,20.8
15.0,50.0,2.0,101.0,50.5
15.0,51.0,6.0,402.0,67.0
15.0,52.0,3.0,102.0,34.0
15.0,53.0,2.0,101.0,50.5
15.0,54.0,2.0,2.0,1.0
15.0,55.0,8.0,503.0,62.875
15.0,56.0,6.0,204.0,34.0
15.0,57.0,3.0,102.0,34.0
15.0,58.0,9.0,306.0,34.0
15.0,59.0,8.0,107.0,13.375
15.0,60.0,9.0,504.0,56.0
15.0,61.0,8.0,305.0,38.125
15.0,62.0,3.0,102.0,34.0
15.0,63.0,7.0,205.0,29.285714285714285
15.0,64.0,9.0,306.0,34.0
15.0,65.0,12.0,120.0,10.0
15.0,66.0,6.0,204.0,34.0
15.0,67.0,13.0,310.0,23.846153846153847
15.0,68.0,6.0,303.0,50.5
15.0,69.0,7.0,205.0,29.285714285714285
15.0,70.0,13.0,805.0,61.92307692307692
15.0,71.0,11.0,407.0,37.0
15.0,72.0,10.0,406.0,40.6
15.0,73.0,4.0,103.0,25.75
15.0,74.0,8.0,206.0,25.75
15.0,75.0,8.0,107.0,13.375
15.0,76.0,11.0,209.0,19.0
15.0,77.0,7.0,106.0,15.142857142857142
15.0,78.0,5.0,203.0,40.6
15.0,79.0,7.0,304.0,43.42857142857143
15.0,80.0,9.0,612.0,68.0
15.0,81.0,7.0,403.0,57.57142857142857
15.0,82.0,8.0,404.0,50.5
15.0,83.0,8.0,503.0,62.875
15.0,84.0,1.0,1.0,1.0
15.0,85.0,5.0,104.0,20.8
15.0,86.0,5.0,203.0,40.6
15.0,87.0,7.0,205.0,29.285714285714285
15.0,88.0,8.0,404.0,50.5
15.0,89.0,5.0,302.0,60.4
15.0,90.0,1.0,100.0,100.0
15.0,91.0,3.0,201.0,67.0
15.0,92.0,5.0,203.0,40.6
15.0,93.0,3.0,3.0,1.0
15.0,94.0,2.0,101.0,50.5
15.0,95.0,1.0,100.0,100.0
15,96,0,0,0
15.0,97.0,2.0,2.0,1.0
15.0,98.0,1.0,1.0,1.0
15,99,0,0,0
16,0,0,0,0
16.0,1.0,1.0,1.0,1.0
16,2,0,0,0
16.0,3.0,1.0,1.0,1.0
16,4,0,0,0
16.0,5.0,2.0,101.0,50.5
16.0,6.0,2.0,101.0,50.5
16,7,0,0,0
16,8,0,0,0
16.0,9.0,1.0,1.0,1.0
16.0,10.0,2.0,2.0,1.0
16.0,11.0,3.0,102.0,34.0
16.0,12.0,1.0,1.0,1.0
16.0,13.0,3.0,3.0,1.0
16.0,14.0,4.0,4.0,1.0
16.0,15.0,4.0,103.0,25.75
16.0,16.0,2.0,2.0,1.0
16.0,17.0,3.0,102.0,34.0
16.0,18.0,1.0,1.0,1.0
16.0,19.0,2.0,2.0,1.0
16,20,0,0,0
16.0,21.0,2.0,101.0,50.5
16.0,22.0,1.0,100.0,100.0
16.0,23.0,2.0,101.0,50.5
16.0,24.0,2.0,101.0,50.5
16.0,25.0,1.0,1.0,1.0
16,26,0,0,0
16,27,0,0,0
16.0,28.0,3.0,3.0,1.0
16.0,29.0,3.0,201.0,67.0
16.0,30.0,1.0,1.0,1.0
16.0,31.0,1.0,1.0,1.0
16.0,32.0,2.0,101.0,50.5
16.0,33.0,2.0,2.0,1.0
16.0,34.0,3.0,102.0,34.0
16.0,35.0,4.0,202.0,50.5
16.0,36.0,3.0,102.0,34.0
16.0,37.0,5.0,104.0,20.8
16.0,38.0,3.0,102.0,34.0
16.0,39.0,3.0,102.0,34.0
16.0,40.0,4.0,202.0,50.5
16.0,41.0,2.0,101.0,50.5
16.0,42.0,3.0,201.0,67.0
16.0,43.0,6.0,204.0,34.0
16.0,44.0,7.0,205.0,29.285714285714285
16.0,45.0,3.0,3.0,1.0
16.0,46.0,5.0,203.0,40.6
16.0,47.0,5.0,104.0,20.8
16.0,48.0,4.0,4.0,1.0
16.0,49.0,2.0,2.0,1.0
16.0,50.0,4.0,202.0,50.5
16.0,51.0,6.0,6.0,1.0
16.0,52.0,9.0,405.0,45.0
16.0,53.0,5.0,104.0,20.8
16.0,54.0,4.0,103.0,25.75
16.0,55.0,4.0,4.0,1.0
