#
# Data file created by trmeshi_ssv.m on 28-Nov-2016
#
# Vertex list:  x y
 479  Number of vertices
         8.85277090e-01         1.39566238e-01
        -6.24154913e-01        -3.03665125e-01
         6.37236246e-01         7.39211208e-01
         9.51015681e-01        -3.69835150e-01
        -4.99292023e-01        -4.02801686e-01
        -9.52643355e-01         6.56955482e-01
        -9.62669063e-01         3.91922637e-01
        -8.23486372e-01        -5.75479339e-01
        -4.32447632e-01        -9.70012189e-01
        -9.71130501e-01         7.32898413e-01
         6.73697567e-01        -4.78553276e-01
        -7.29814933e-02         7.33397113e-01
        -7.80780359e-01         8.17501631e-01
        -5.23552414e-01        -5.03834024e-01
        -4.74818376e-01         8.54238562e-01
         5.76008371e-01         1.90914178e-02
        -6.24946697e-01        -1.65496850e-01
        -7.83950258e-01         6.21481939e-01
        -2.08698025e-01        -7.07845850e-01
        -3.41691331e-01         5.42987861e-01
         5.79421750e-01         3.41606182e-01
         2.17216610e-01        -4.71980802e-01
        -6.99647000e-01         4.23959610e-01
        -6.44550521e-01        -4.53877373e-03
        -2.49273584e-01        -5.63537619e-01
         5.63700311e-01         1.91814824e-01
        -4.77364534e-01         5.79251212e-01
         6.98434211e-01        -2.31456887e-01
         8.74156733e-01         3.39837226e-01
        -9.09994289e-01        -1.33604003e-01
         9.83840995e-01        -7.53119030e-01
        -9.55079001e-01        -3.90876676e-02
         4.64185229e-01         4.28894793e-01
        -9.65812831e-01         7.59214446e-01
         3.13878186e-01         3.63679028e-01
        -9.70807991e-01         4.50805187e-01
         8.89976507e-01         4.40241519e-01
         9.59861817e-01        -7.94516027e-01
         8.95708501e-01         9.56644246e-03
        -7.45896840e-01         9.39583656e-01
         1.03201802e-01         6.99405065e-01
        -8.25503734e-01         7.05355547e-01
         8.78309983e-02        -9.57394692e-01
        -7.04185034e-01        -6.41818472e-01
         9.28655473e-01        -3.19466775e-01
         7.26956763e-01        -8.87206497e-01
         8.54751675e-01         8.67845111e-01
        -4.92798789e-01        -9.14192419e-01
        -1.79038729e-01         9.77219603e-01
         9.37873464e-01        -1.69685476e-01
         9.62386109e-01        -5.61762017e-01
        -9.49504469e-01        -4.23358114e-01
        -2.29759641e-01         9.59308681e-01
         8.56171507e-01         7.47842005e-01
         3.61339802e-01        -8.35251744e-01
        -2.39656145e-01        -9.57805230e-01
         5.42877727e-01        -8.13047141e-01
        -9.73246306e-01         5.75910859e-01
         1.72481119e-01        -8.89347029e-01
         9.20331209e-01        -7.23862137e-01
        -7.05928231e-01        -1.04799068e-01
        -7.55667744e-01         7.20971434e-01
        -6.22111815e-01        -4.22681727e-01
         2.66663043e-01        -5.78612496e-01
        -2.45429418e-01         6.30416317e-01
        -3.66389674e-01         6.42721377e-01
        -3.94792217e-01        -5.08753667e-01
         1.88422019e-01         4.65993533e-01
         6.80264484e-01        -2.05086102e-02
         6.47166712e-01        -5.84534517e-01
        -7.70441428e-01         8.79883669e-01
        -8.18071437e-01         7.69729000e-01
         1.45973933e-02        -6.85889086e-01
         5.37313413e-01         5.47742131e-01
         6.58145512e-01         1.17163536e-01
        -7.93967295e-01         4.24133488e-01
        -5.72674483e-01         6.51575894e-01
        -1.32829564e-01         7.89169187e-01
         6.98945843e-01         4.23745254e-01
         6.88146030e-01        -3.58249034e-01
        -2.87263011e-01        -8.45448294e-01
